United Airlines Aircraft Operating Statistics- Cost Per Block Hour (Unadjusted),,,,,,,,,,,,,,,,,,,,,,
United Airlines,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Gallons of Fuel Per Block Hour,"1,050","1,053","1,053","1,050","1,050","1,073","1,106","1,105","1,013","1,065","1,044","1,022","1,004","1,007","1,015","1,034","1,043",942,941,923,904
,Load Factor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,
,Daily Utilization per Aircraft,,,,,,,,,,,,,,,,,,,,,
,Block Hours ,11,11,11,11,11,11,10,10,9,10,11,11,11,10,10,10,10,10,10,10,10
,Airborne Hours,9,10,10,10,10,9,9,9,8,7,9,11,11,10,10,10,10,10,10,10,10
,Departures,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,
,Widebodies,"$5,040 ","$5,424 ","$5,376 ","$4,948 ","$4,804 ","$5,631 ","$5,882 ","$5,885 ","$5,530 ","$5,890 ","$7,200 ","$7,747 ","$7,986 ","$10,946 ","$7,054 ","$8,452 ","$9,990 ","$10,667 ","$10,604 ","$10,567 ","$8,373 "
,(Ex Fuel),"$3,584 ","$3,713 ","$3,768 ","$3,663 ","$3,572 ","$3,886 ","$4,051 ","$4,313 ","$3,729 ","$3,369 ","$3,412 ","$3,279 ","$3,260 ","$3,376 ","$3,424 ","$3,419 ","$3,670 ","$3,779 ","$3,965 ","$4,256 ","$4,280 "
,,,,,,,,,,,,,,,,,,,,,,
,Pilots,$977 ,"$1,102 ","$1,231 ","$1,274 ","$1,247 ","$1,343 ","$1,602 ","$1,742 ","$1,291 ","$1,084 ",$902 ,$880 ,$900 ,"$1,003 ","$1,055 ","$1,019 ",$954 ,"$1,233 ","$1,350 ","$1,621 ","$1,577 "
,Salaries and Wages,$759 ,$858 ,$990 ,$980 ,$949 ,$994 ,"$1,082 ","$1,131 ",$739 ,$653 ,$584 ,$581 ,$595 ,$647 ,$656 ,$654 ,$684 ,$837 ,$922 ,"$1,087 ","$1,096 "
,Pilot Training,$36 ,$31 ,$35 ,$32 ,$38 ,$38 ,$49 ,$48 ,$32 ,$21 ,$16 ,$12 ,$14 ,$15 ,$21 ,$14 ,$17 ,$17 ,$25 ,$36 ,$56 
,Benefits and Payroll Taxes,$132 ,$159 ,$149 ,$204 ,$196 ,$244 ,$408 ,$503 ,$462 ,$347 ,$243 ,$227 ,$223 ,$268 ,$305 ,$277 ,$183 ,$252 ,$312 ,$349 ,$344 
,Per Diem/ Personnel,$50 ,$53 ,$57 ,$58 ,$63 ,$66 ,$64 ,$60 ,$58 ,$62 ,$59 ,$60 ,$68 ,$74 ,$73 ,$73 ,$69 ,$127 ,$91 ,$150 ,$81 
,,,,,,,,,,,,,,,,,,,,,,
,Purchased Goods,"$1,513 ","$1,788 ","$1,683 ","$1,356 ","$1,309 ","$1,815 ","$1,935 ","$1,701 ","$1,927 ","$2,660 ","$3,953 ","$4,634 ","$4,884 ","$7,761 ","$3,762 ","$5,188 ","$6,521 ","$7,017 ","$6,737 ","$6,406 ","$4,216 "
,Fuel/Oil,"$1,456 ","$1,711 ","$1,608 ","$1,285 ","$1,232 ","$1,745 ","$1,831 ","$1,573 ","$1,801 ","$2,521 ","$3,788 ","$4,468 ","$4,726 ","$7,570 ","$3,631 ","$5,033 ","$6,320 ","$6,888 ","$6,639 ","$6,311 ","$4,094 "
,Insurance,$18 ,$15 ,$12 ,$9 ,$8 ,$9 ,$19 ,$43 ,$26 ,$17 ,$21 ,$17 ,$12 ,$6 ,$8 ,$10 ,$10 ,$6 ,$4 ,$3 ,$2 
